city,region,country,month,high_temp_F,low_temp_F,mean_temp_F,precipitation_in,humidity_percent,dew_point_F,wind_mph,pressure_Hg,visibility_mi
Helsinki,,Finland,September,60.0,46.0,53.0,2.05,82.0,47.0,13.0,29.94,7.0
Helsinki,,Finland,October,48.0,38.0,43.0,2.74,86.0,39.0,14.0,29.91,7.0
Helsinki,,Finland,November,39.0,31.0,35.0,2.42,89.0,32.0,14.0,29.89,6.0
Helsinki,,Finland,December,34.0,25.0,30.0,2.38,89.0,27.0,15.0,29.83,6.0
Perth,Western Australia,Australia,January,90.0,64.0,77.0,0.62,49.0,53.0,23.0,29.88,11.0
Perth,Western Australia,Australia,February,90.0,64.0,77.0,0.68,50.0,54.0,22.0,29.89,11.0
Perth,Western Australia,Australia,March,86.0,62.0,74.0,0.75,53.0,53.0,21.0,29.98,11.0
Perth,Western Australia,Australia,April,79.0,56.0,68.0,1.18,62.0,51.0,17.0,30.06,11.0
Perth,Western Australia,Australia,May,72.0,51.0,62.0,3.22,69.0,49.0,15.0,30.1,10.0
Perth,Western Australia,Australia,June,67.0,48.0,58.0,4.68,74.0,47.0,16.0,30.12,10.0
Perth,Western Australia,Australia,July,65.0,47.0,56.0,5.54,76.0,47.0,16.0,30.12,9.0
Perth,Western Australia,Australia,August,66.0,47.0,57.0,4.75,75.0,47.0,16.0,30.12,9.0
Perth,Western Australia,Australia,September,69.0,48.0,59.0,3.08,71.0,47.0,17.0,30.07,10.0
Perth,Western Australia,Australia,October,74.0,51.0,63.0,1.4,64.0,48.0,19.0,30.04,10.0
Perth,Western Australia,Australia,November,81.0,56.0,68.0,1.05,57.0,50.0,21.0,29.96,10.0
Perth,Western Australia,Australia,December,86.0,60.0,73.0,0.34,51.0,51.0,23.0,29.91,11.0
Anchorage,Alaska,USA,January,23.0,11.0,17.0,0.63,78.0,12.0,7.0,29.92,9.0
Anchorage,Alaska,USA,February,28.0,15.0,21.0,0.68,77.0,15.0,7.0,30.03,9.0
Anchorage,Alaska,USA,March,34.0,18.0,26.0,0.54,66.0,16.0,8.0,30.01,10.0
Anchorage,Alaska,USA,April,46.0,30.0,38.0,0.39,62.0,26.0,7.0,29.92,10.0
Anchorage,Alaska,USA,May,58.0,42.0,50.0,0.66,57.0,35.0,8.0,29.95,10.0
Anchorage,Alaska,USA,June,65.0,50.0,58.0,0.95,62.0,44.0,9.0,29.93,12.0
Anchorage,Alaska,USA,July,68.0,54.0,61.0,1.74,68.0,50.0,7.0,29.96,10.0
Anchorage,Alaska,USA,August,65.0,52.0,59.0,2.87,72.0,49.0,6.0,29.91,10.0
Anchorage,Alaska,USA,September,57.0,44.0,50.0,3.02,73.0,42.0,7.0,29.85,10.0
Anchorage,Alaska,USA,October,43.0,32.0,38.0,1.75,74.0,30.0,7.0,29.9,10.0
Anchorage,Alaska,USA,November,29.0,19.0,24.0,0.97,78.0,18.0,8.0,29.91,9.0
Anchorage,Alaska,USA,December,25.0,14.0,19.0,0.95,80.0,14.0,7.0,30.01,9.0
Hong Kong,,Hong Kong,January,68.0,58.0,63.0,1.1,67.0,51.0,18.0,30.13,5.0
Hong Kong,,Hong Kong,February,69.0,60.0,65.0,1.21,73.0,55.0,18.0,30.08,6.0
Hong Kong,,Hong Kong,March,74.0,64.0,69.0,2.08,76.0,60.0,19.0,30.0,6.0
Hong Kong,,Hong Kong,April,80.0,71.0,76.0,3.12,77.0,67.0,19.0,29.91,6.0
Hong Kong,,Hong Kong,May,86.0,77.0,82.0,6.32,76.0,73.0,18.0,29.8,7.0
Hong Kong,,Hong Kong,June,89.0,81.0,85.0,8.56,76.0,76.0,18.0,29.71,7.0
Hong Kong,,Hong Kong,July,91.0,81.0,86.0,7.49,75.0,77.0,18.0,29.7,7.0
Hong Kong,,Hong Kong,August,91.0,81.0,86.0,8.95,75.0,76.0,16.0,29.69,7.0
Hong Kong,,Hong Kong,September,89.0,80.0,85.0,5.75,72.0,74.0,17.0,29.79,7.0
Hong Kong,,Hong Kong,October,85.0,76.0,80.0,1.51,66.0,67.0,18.0,29.95,6.0
Hong Kong,,Hong Kong,November,79.0,69.0,74.0,1.07,65.0,60.0,18.0,30.04,6.0
Hong Kong,,Hong Kong,December,71.0,61.0,66.0,1.04,63.0,52.0,17.0,30.13,6.0
Philadelphia,Pennsylvania,USA,January,41.0,27.0,34.0,3.03,63.0,22.0,16.0,30.1,9.0
Philadelphia,Pennsylvania,USA,February,44.0,28.0,36.0,2.9,60.0,23.0,17.0,30.09,9.0
Philadelphia,Pennsylvania,USA,March,53.0,35.0,44.0,3.98,58.0,29.0,17.0,30.08,9.0
Philadelphia,Pennsylvania,USA,April,64.0,45.0,55.0,3.48,57.0,39.0,17.0,30.0,9.0
Philadelphia,Pennsylvania,USA,May,74.0,55.0,64.0,3.41,62.0,50.0,14.0,30.01,9.0
Philadelphia,Pennsylvania,USA,June,83.0,65.0,74.0,4.04,64.0,61.0,14.0,29.97,9.0
Philadelphia,Pennsylvania,USA,July,88.0,70.0,79.0,4.47,64.0,65.0,13.0,29.97,9.0
Philadelphia,Pennsylvania,USA,August,86.0,69.0,77.0,4.38,66.0,64.0,12.0,30.01,9.0
Philadelphia,Pennsylvania,USA,September,79.0,62.0,70.0,4.44,67.0,59.0,13.0,30.06,9.0
Philadelphia,Pennsylvania,USA,October,67.0,50.0,59.0,3.56,67.0,47.0,14.0,30.08,9.0
Philadelphia,Pennsylvania,USA,November,56.0,39.0,48.0,2.88,64.0,35.0,15.0,30.13,9.0
Philadelphia,Pennsylvania,USA,December,46.0,32.0,39.0,3.85,65.0,28.0,15.0,30.12,9.0
Ankara,,Turkey,January,41.0,26.0,33.0,1.39,80.0,27.0,7.0,30.13,5.0
Ankara,,Turkey,February,46.0,28.0,37.0,1.26,73.0,28.0,9.0,30.08,6.0
Ankara,,Turkey,March,54.0,33.0,43.0,1.76,64.0,31.0,10.0,29.99,7.0
Ankara,,Turkey,April,63.0,41.0,52.0,1.74,59.0,37.0,10.0,29.93,7.0
Ankara,,Turkey,May,73.0,49.0,61.0,2.29,57.0,44.0,10.0,29.91,7.0
Ankara,,Turkey,June,81.0,56.0,68.0,2.19,53.0,49.0,11.0,29.88,7.0
Ankara,,Turkey,July,88.0,62.0,75.0,0.71,43.0,50.0,11.0,29.82,7.0
Ankara,,Turkey,August,88.0,62.0,75.0,0.65,43.0,50.0,11.0,29.86,7.0
Ankara,,Turkey,September,80.0,53.0,66.0,0.9,49.0,45.0,9.0,29.95,7.0
Ankara,,Turkey,October,69.0,44.0,56.0,0.96,62.0,41.0,7.0,30.08,7.0
Ankara,,Turkey,November,56.0,33.0,45.0,1.11,73.0,35.0,6.0,30.14,6.0
Ankara,,Turkey,December,44.0,29.0,37.0,1.41,80.0,31.0,7.0,30.16,6.0
Honolulu,Hawaii,USA,January,81.0,67.0,74.0,1.95,71.0,63.0,14.0,30.01,11.0
Honolulu,Hawaii,USA,February,81.0,67.0,74.0,2.05,68.0,62.0,15.0,30.03,10.0
Honolulu,Hawaii,USA,March,81.0,68.0,75.0,2.35,67.0,63.0,16.0,30.05,10.0
Honolulu,Hawaii,USA,April,83.0,70.0,77.0,0.83,65.0,64.0,19.0,30.06,11.0
Honolulu,Hawaii,USA,May,85.0,72.0,78.0,0.89,64.0,65.0,18.0,30.04,11.0
Honolulu,Hawaii,USA,June,87.0,74.0,80.0,0.57,62.0,66.0,21.0,30.03,11.0
Honolulu,Hawaii,USA,July,88.0,75.0,82.0,0.59,62.0,67.0,22.0,30.02,11.0
Honolulu,Hawaii,USA,August,89.0,76.0,82.0,0.94,62.0,67.0,21.0,30.0,11.0
Honolulu,Hawaii,USA,September,88.0,75.0,82.0,0.89,64.0,68.0,18.0,29.98,11.0
Honolulu,Hawaii,USA,October,87.0,74.0,80.0,1.46,66.0,68.0,17.0,29.98,11.0
Honolulu,Hawaii,USA,November,84.0,72.0,78.0,2.26,68.0,66.0,16.0,30.0,10.0
Honolulu,Hawaii,USA,December,82.0,69.0,76.0,2.55,70.0,65.0,15.0,30.02,10.0
Phoenix,Arizona,USA,January,68.0,46.0,57.0,0.88,42.0,32.0,6.0,30.05,11.0
Phoenix,Arizona,USA,February,71.0,49.0,60.0,0.87,39.0,33.0,7.0,29.99,11.0
Phoenix,Arizona,USA,March,79.0,54.0,66.0,0.78,32.0,33.0,7.0,29.92,10.0
Phoenix,Arizona,USA,April,86.0,61.0,73.0,0.23,22.0,31.0,8.0,29.84,10.0
Phoenix,Arizona,USA,May,95.0,69.0,82.0,0.13,18.0,34.0,8.0,29.78,10.0
Phoenix,Arizona,USA,June,105.0,79.0,92.0,0.03,15.0,37.0,8.0,29.73,10.0
Phoenix,Arizona,USA,July,107.0,84.0,96.0,0.98,27.0,55.0,8.0,29.78,10.0
Phoenix,Arizona,USA,August,105.0,83.0,94.0,1.0,32.0,59.0,7.0,29.78,10.0
Phoenix,Arizona,USA,September,101.0,78.0,89.0,0.59,29.0,52.0,7.0,29.78,10.0
Phoenix,Arizona,USA,October,90.0,65.0,77.0,0.53,28.0,41.0,6.0,29.86,10.0
Phoenix,Arizona,USA,November,77.0,54.0,65.0,0.54,33.0,34.0,6.0,29.98,10.0
Phoenix,Arizona,USA,December,67.0,45.0,56.0,0.74,43.0,32.0,6.0,30.04,10.0
Antananarivo,,Madagascar,January,82.0,63.0,72.0,13.33,82.0,64.0,11.0,29.99,8.0
Antananarivo,,Madagascar,February,81.0,63.0,72.0,11.27,82.0,64.0,11.0,29.98,9.0
Antananarivo,,Madagascar,March,81.0,63.0,72.0,8.36,81.0,63.0,11.0,30.02,9.0
Antananarivo,,Madagascar,April,80.0,60.0,70.0,2.85,79.0,61.0,10.0,30.08,10.0
Antananarivo,,Madagascar,May,76.0,56.0,66.0,1.36,80.0,57.0,9.0,30.14,9.0
Antananarivo,,Madagascar,June,72.0,51.0,61.0,0.32,80.0,53.0,10.0,30.2,9.0
Antananarivo,,Madagascar,July,70.0,50.0,60.0,0.43,79.0,51.0,12.0,30.23,9.0
Antananarivo,,Madagascar,August,73.0,50.0,61.0,0.3,76.0,51.0,12.0,30.22,9.0
Antananarivo,,Madagascar,September,77.0,52.0,65.0,0.64,71.0,52.0,13.0,30.19,10.0
Antananarivo,,Madagascar,October,81.0,56.0,69.0,2.19,70.0,56.0,13.0,30.13,9.0
Antananarivo,,Madagascar,November,83.0,60.0,71.0,6.24,73.0,59.0,11.0,30.07,8.0
Antananarivo,,Madagascar,December,83.0,62.0,72.0,11.06,78.0,63.0,11.0,30.03,8.0
Houston,Texas,USA,January,64.0,46.0,55.0,3.85,71.0,45.0,15.0,30.15,9.0
Houston,Texas,USA,February,68.0,50.0,59.0,2.87,72.0,49.0,15.0,30.1,9.0
Houston,Texas,USA,March,74.0,56.0,65.0,3.3,71.0,55.0,15.0,30.05,9.0
Houston,Texas,USA,April,80.0,62.0,71.0,3.81,71.0,60.0,15.0,29.98,10.0
Houston,Texas,USA,May,86.0,69.0,78.0,5.5,72.0,67.0,14.0,29.96,10.0
Houston,Texas,USA,June,91.0,75.0,83.0,5.94,72.0,73.0,11.0,29.94,10.0
Houston,Texas,USA,July,93.0,76.0,85.0,4.78,71.0,74.0,10.0,30.0,10.0
Houston,Texas,USA,August,94.0,77.0,85.0,5.31,70.0,74.0,9.0,29.98,10.0
Houston,Texas,USA,September,90.0,73.0,81.0,5.48,70.0,70.0,10.0,29.97,10.0
Houston,Texas,USA,October,83.0,64.0,73.0,5.8,69.0,62.0,12.0,30.03,10.0
Houston,Texas,USA,November,73.0,54.0,64.0,3.76,72.0,54.0,13.0,30.12,10.0
Houston,Texas,USA,December,66.0,48.0,57.0,4.19,73.0,48.0,14.0,30.13,9.0
Prague,,Czechia,January,35.0,26.0,30.0,2.1,86.0,27.0,18.0,30.1,8.0
Prague,,Czechia,February,39.0,27.0,33.0,1.4,81.0,28.0,18.0,30.08,9.0
Prague,,Czechia,March,47.0,32.0,39.0,1.22,76.0,31.0,18.0,30.04,10.0
Prague,,Czechia,April,58.0,38.0,48.0,1.11,67.0,37.0,16.0,29.97,12.0
Prague,,Czechia,May,66.0,46.0,56.0,2.42,70.0,46.0,15.0,29.99,13.0
Prague,,Czechia,June,72.0,52.0,62.0,2.65,71.0,52.0,14.0,30.0,14.0
Prague,,Czechia,July,76.0,55.0,66.0,2.91,69.0,54.0,15.0,29.98,14.0
Prague,,Czechia,August,76.0,55.0,65.0,2.56,69.0,54.0,14.0,30.0,14.0
Prague,,Czechia,September,66.0,48.0,57.0,1.59,76.0,49.0,14.0,30.04,12.0
Prague,,Czechia,October,55.0,41.0,48.0,1.34,83.0,42.0,15.0,30.07,9.0
Prague,,Czechia,November,44.0,34.0,39.0,1.13,88.0,35.0,15.0,30.04,7.0
Prague,,Czechia,December,37.0,28.0,33.0,1.21,87.0,30.0,17.0,30.09,8.0
Asuncion,,Paraguay,January,95.0,73.0,84.0,5.28,69.0,70.0,13.0,29.79,8.0
Asuncion,,Paraguay,February,93.0,72.0,83.0,5.88,71.0,70.0,13.0,29.82,8.0
Asuncion,,Paraguay,March,91.0,70.0,81.0,5.07,72.0,68.0,12.0,29.86,8.0
Asuncion,,Paraguay,April,87.0,66.0,76.0,5.68,75.0,65.0,12.0,29.92,8.0
Asuncion,,Paraguay,May,79.0,59.0,69.0,4.92,78.0,59.0,13.0,30.0,8.0
Asuncion,,Paraguay,June,77.0,57.0,67.0,2.87,77.0,57.0,14.0,30.01,7.0
Asuncion,,Paraguay,July,77.0,54.0,66.0,1.98,70.0,53.0,15.0,30.04,7.0
Asuncion,,Paraguay,August,82.0,57.0,70.0,1.49,63.0,54.0,17.0,30.0,7.0
Asuncion,,Paraguay,September,85.0,61.0,73.0,2.52,62.0,56.0,17.0,29.94,7.0
Asuncion,,Paraguay,October,89.0,66.0,78.0,5.52,68.0,63.0,17.0,29.86,8.0
Asuncion,,Paraguay,November,90.0,68.0,79.0,6.97,67.0,65.0,15.0,29.82,8.0
Asuncion,,Paraguay,December,93.0,72.0,82.0,6.0,69.0,69.0,14.0,29.79,8.0
Indianapolis,Indiana,USA,January,36.0,21.0,29.0,3.14,77.0,22.0,18.0,30.13,8.0
Indianapolis,Indiana,USA,February,41.0,24.0,33.0,2.49,72.0,24.0,18.0,30.11,8.0
Indianapolis,Indiana,USA,March,52.0,33.0,42.0,3.6,66.0,31.0,18.0,30.08,9.0
Indianapolis,Indiana,USA,April,64.0,43.0,53.0,4.34,63.0,40.0,18.0,29.98,9.0
Indianapolis,Indiana,USA,May,74.0,54.0,64.0,4.73,67.0,52.0,15.0,29.99,9.0
Indianapolis,Indiana,USA,June,82.0,63.0,73.0,5.19,68.0,61.0,13.0,29.96,9.0
Indianapolis,Indiana,USA,July,85.0,67.0,76.0,4.59,70.0,65.0,12.0,29.99,9.0
Indianapolis,Indiana,USA,August,85.0,65.0,75.0,3.15,69.0,64.0,11.0,30.01,9.0
Indianapolis,Indiana,USA,September,78.0,58.0,68.0,3.3,67.0,56.0,12.0,30.04,9.0
Indianapolis,Indiana,USA,October,66.0,46.0,56.0,3.31,68.0,45.0,15.0,30.07,10.0
Indianapolis,Indiana,USA,November,52.0,35.0,43.0,3.39,71.0,34.0,17.0,30.12,9.0
Indianapolis,Indiana,USA,December,41.0,26.0,34.0,3.03,77.0,27.0,17.0,30.12,8.0
Reykjavik,,Iceland,January,38.0,29.0,33.0,3.89,79.0,27.0,24.0,29.47,12.0
Reykjavik,,Iceland,February,38.0,29.0,33.0,3.86,77.0,26.0,25.0,29.5,11.0
Reykjavik,,Iceland,March,39.0,30.0,35.0,3.81,76.0,27.0,24.0,29.63,12.0
Reykjavik,,Iceland,April,44.0,34.0,39.0,2.85,73.0,31.0,23.0,29.82,12.0
Reykjavik,,Iceland,May,49.0,39.0,44.0,2.37,72.0,35.0,20.0,29.92,13.0
Reykjavik,,Iceland,June,55.0,45.0,50.0,2.05,76.0,42.0,18.0,29.9,13.0
Reykjavik,,Iceland,July,58.0,49.0,53.0,2.55,79.0,46.0,16.0,29.81,13.0
Reykjavik,,Iceland,August,57.0,48.0,52.0,3.21,80.0,46.0,17.0,29.77,13.0
Reykjavik,,Iceland,September,52.0,43.0,48.0,3.99,79.0,41.0,21.0,29.68,12.0
Reykjavik,,Iceland,October,45.0,37.0,41.0,3.38,77.0,34.0,21.0,29.65,13.0
Reykjavik,,Iceland,November,40.0,32.0,36.0,3.8,78.0,30.0,23.0,29.57,13.0
Reykjavik,,Iceland,December,38.0,29.0,34.0,4.29,79.0,27.0,24.0,29.51,12.0
Athens,,Greece,January,57.0,44.0,50.0,2.04,68.0,40.0,8.0,30.03,7.0
Athens,,Greece,February,59.0,46.0,53.0,1.67,69.0,42.0,9.0,30.04,7.0
Athens,,Greece,March,64.0,49.0,56.0,1.64,63.0,43.0,9.0,29.98,7.0
Athens,,Greece,April,71.0,55.0,63.0,0.99,56.0,47.0,8.0,29.96,7.0
Athens,,Greece,May,79.0,63.0,71.0,0.73,54.0,53.0,8.0,29.91,7.0
Athens,,Greece,June,87.0,70.0,79.0,0.72,49.0,57.0,10.0,29.89,7.0
Athens,,Greece,July,93.0,76.0,84.0,0.26,41.0,57.0,11.0,29.85,7.0
Athens,,Greece,August,93.0,76.0,85.0,0.21,39.0,56.0,12.0,29.87,7.0
Athens,,Greece,September,85.0,70.0,77.0,0.85,51.0,57.0,10.0,29.95,7.0
Athens,,Greece,October,76.0,62.0,69.0,1.12,61.0,54.0,8.0,30.04,7.0
Athens,,Greece,November,68.0,55.0,62.0,2.66,68.0,50.0,8.0,30.06,7.0
Athens,,Greece,December,59.0,47.0,53.0,2.72,69.0,43.0,8.0,30.1,7.0
Islamabad,,Pakistan,January,63.0,40.0,51.0,3.81,69.0,39.0,7.0,30.09,2.0
Islamabad,,Pakistan,February,68.0,45.0,56.0,4.31,65.0,43.0,10.0,30.02,3.0
Islamabad,,Pakistan,March,76.0,53.0,65.0,8.24,59.0,48.0,12.0,29.93,4.0
Islamabad,,Pakistan,April,87.0,62.0,74.0,3.81,50.0,53.0,15.0,29.81,4.0
Islamabad,,Pakistan,May,97.0,71.0,84.0,3.85,41.0,56.0,16.0,29.64,4.0
Islamabad,,Pakistan,June,100.0,76.0,88.0,4.47,46.0,63.0,17.0,29.5,4.0
Islamabad,,Pakistan,July,95.0,77.0,86.0,12.58,67.0,73.0,15.0,29.49,4.0
Islamabad,,Pakistan,August,92.0,76.0,84.0,10.37,73.0,74.0,13.0,29.57,4.0
Islamabad,,Pakistan,September,92.0,71.0,82.0,4.24,67.0,69.0,10.0,29.7,4.0
Islamabad,,Pakistan,October,87.0,61.0,74.0,2.99,60.0,57.0,8.0,29.89,3.0
Islamabad,,Pakistan,November,77.0,49.0,63.0,2.12,63.0,47.0,6.0,30.02,3.0
Islamabad,,Pakistan,December,68.0,41.0,54.0,1.88,67.0,41.0,5.0,30.09,2.0
Rio de Janeiro,Rio de Janeiro,Brazil,January,87.0,76.0,82.0,3.94,77.0,73.0,13.0,29.87,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,February,88.0,76.0,82.0,3.06,77.0,73.0,13.0,29.89,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,March,86.0,75.0,80.0,4.07,79.0,73.0,13.0,29.92,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,April,83.0,73.0,78.0,2.56,79.0,70.0,12.0,29.98,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,May,79.0,69.0,74.0,1.92,79.0,66.0,11.0,30.03,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,June,78.0,67.0,73.0,1.12,79.0,65.0,11.0,30.09,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,July,77.0,66.0,72.0,0.95,78.0,64.0,12.0,30.12,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,August,78.0,67.0,72.0,0.87,77.0,64.0,12.0,30.11,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,September,79.0,68.0,74.0,1.55,78.0,65.0,14.0,30.04,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,October,80.0,70.0,75.0,2.21,78.0,67.0,14.0,29.97,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,November,82.0,71.0,76.0,4.25,80.0,69.0,14.0,29.91,6.0
Rio de Janeiro,Rio de Janeiro,Brazil,December,85.0,74.0,79.0,4.92,79.0,72.0,14.0,29.87,6.0
Atlanta,Georgia,USA,January,54.0,33.0,44.0,4.21,66.0,32.0,9.0,30.15,9.0
Atlanta,Georgia,USA,February,58.0,36.0,47.0,4.59,65.0,35.0,10.0,30.11,9.0
Atlanta,Georgia,USA,March,66.0,43.0,54.0,4.42,62.0,40.0,10.0,30.08,9.0
Atlanta,Georgia,USA,April,74.0,49.0,62.0,3.67,63.0,48.0,9.0,30.02,9.0
Atlanta,Georgia,USA,May,81.0,59.0,70.0,3.62,67.0,58.0,7.0,30.02,9.0
Atlanta,Georgia,USA,June,87.0,67.0,77.0,3.84,70.0,66.0,6.0,30.0,9.0
Atlanta,Georgia,USA,July,90.0,70.0,80.0,4.82,70.0,69.0,6.0,30.02,8.0
Atlanta,Georgia,USA,August,89.0,70.0,79.0,3.97,71.0,68.0,5.0,30.01,8.0
Atlanta,Georgia,USA,September,84.0,63.0,74.0,3.52,71.0,63.0,6.0,30.03,9.0
Atlanta,Georgia,USA,October,75.0,52.0,63.0,3.35,71.0,53.0,7.0,30.07,9.0
Atlanta,Georgia,USA,November,64.0,40.0,52.0,3.8,67.0,41.0,7.0,30.15,9.0
Atlanta,Georgia,USA,December,56.0,36.0,46.0,4.32,69.0,36.0,8.0,30.15,9.0
Istanbul,,Turkey,January,48.0,39.0,44.0,2.87,78.0,37.0,19.0,30.12,6.0
Istanbul,,Turkey,February,50.0,39.0,44.0,2.99,77.0,37.0,19.0,30.09,6.0
Istanbul,,Turkey,March,54.0,42.0,48.0,2.6,73.0,39.0,18.0,30.03,6.0
Istanbul,,Turkey,April,62.0,48.0,55.0,1.75,69.0,44.0,16.0,29.97,6.0
Istanbul,,Turkey,May,72.0,57.0,64.0,1.29,69.0,53.0,16.0,29.95,6.0
Istanbul,,Turkey,June,81.0,66.0,73.0,1.24,65.0,60.0,17.0,29.93,6.0
Istanbul,,Turkey,July,86.0,71.0,78.0,0.83,63.0,63.0,20.0,29.88,6.0
Istanbul,,Turkey,August,86.0,72.0,79.0,0.82,65.0,65.0,20.0,29.91,6.0
Istanbul,,Turkey,September,78.0,65.0,71.0,1.58,67.0,59.0,18.0,29.98,6.0
Istanbul,,Turkey,October,69.0,57.0,63.0,2.24,74.0,54.0,17.0,30.08,6.0
Istanbul,,Turkey,November,60.0,49.0,54.0,2.42,76.0,47.0,17.0,30.12,6.0
Istanbul,,Turkey,December,52.0,42.0,47.0,3.32,77.0,40.0,20.0,30.13,6.0
Riyadh,,Saudi Arabia,January,69.0,49.0,59.0,3.97,44.0,35.0,12.0,30.12,6.0
Riyadh,,Saudi Arabia,February,75.0,53.0,64.0,6.29,34.0,33.0,14.0,30.05,6.0
Riyadh,,Saudi Arabia,March,83.0,60.0,71.0,5.73,29.0,35.0,15.0,29.96,5.0
Riyadh,,Saudi Arabia,April,93.0,70.0,81.0,8.68,25.0,39.0,15.0,29.86,5.0
Riyadh,,Saudi Arabia,May,103.0,80.0,91.0,5.59,16.0,37.0,14.0,29.75,5.0
Riyadh,,Saudi Arabia,June,109.0,84.0,96.0,1.1,10.0,31.0,15.0,29.61,6.0
Riyadh,,Saudi Arabia,July,111.0,86.0,98.0,1.2,10.0,33.0,15.0,29.51,6.0
Riyadh,,Saudi Arabia,August,110.0,85.0,98.0,1.29,12.0,36.0,13.0,29.56,6.0
Riyadh,,Saudi Arabia,September,105.0,80.0,92.0,0.67,14.0,35.0,11.0,29.72,6.0
Riyadh,,Saudi Arabia,October,95.0,70.0,83.0,0.12,20.0,36.0,10.0,29.91,6.0
Riyadh,,Saudi Arabia,November,81.0,60.0,71.0,3.6,38.0,41.0,11.0,30.04,6.0
Riyadh,,Saudi Arabia,December,72.0,52.0,62.0,4.34,45.0,38.0,11.0,30.13,6.0
Auckland,,New Zealand,January,75.0,61.0,68.0,2.08,75.0,59.0,20.0,29.98,13.0
Auckland,,New Zealand,February,76.0,62.0,69.0,2.35,75.0,60.0,18.0,30.0,13.0
Auckland,,New Zealand,March,73.0,59.0,66.0,2.69,77.0,58.0,18.0,30.04,13.0
Auckland,,New Zealand,April,69.0,55.0,62.0,3.02,80.0,55.0,16.0,30.06,12.0
Auckland,,New Zealand,May,64.0,51.0,58.0,4.26,84.0,52.0,17.0,30.01,11.0
Auckland,,New Zealand,June,60.0,48.0,54.0,4.11,85.0,49.0,17.0,30.0,11.0
Auckland,,New Zealand,July,58.0,46.0,52.0,4.5,85.0,47.0,17.0,29.99,11.0
Auckland,,New Zealand,August,59.0,47.0,53.0,3.91,83.0,48.0,19.0,29.97,11.0
Auckland,,New Zealand,September,62.0,49.0,55.0,3.44,81.0,49.0,20.0,30.0,12.0
Auckland,,New Zealand,October,64.0,52.0,58.0,3.23,79.0,51.0,23.0,30.0,11.0
Auckland,,New Zealand,November,67.0,55.0,61.0,2.98,77.0,53.0,22.0,29.97,11.0
Auckland,,New Zealand,December,71.0,59.0,65.0,2.9,76.0,57.0,21.0,29.96,12.0
Jakarta,Jakarta Special Capital Region,Indonesia,January,87.0,77.0,82.0,8.29,80.0,75.0,7.0,29.82,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,February,87.0,77.0,82.0,8.23,81.0,75.0,6.0,29.83,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,March,89.0,78.0,83.0,6.2,77.0,75.0,6.0,29.83,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,April,91.0,78.0,85.0,6.43,76.0,75.0,6.0,29.82,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,May,92.0,79.0,85.0,5.82,74.0,76.0,5.0,29.82,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,June,91.0,78.0,85.0,4.05,73.0,75.0,5.0,29.83,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,July,90.0,77.0,84.0,5.06,71.0,73.0,5.0,29.84,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,August,91.0,78.0,84.0,4.1,69.0,73.0,6.0,29.85,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,September,91.0,78.0,85.0,3.77,68.0,73.0,6.0,29.85,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,October,92.0,79.0,85.0,2.88,70.0,74.0,6.0,29.83,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,November,91.0,78.0,85.0,4.2,74.0,75.0,6.0,29.81,4.0
Jakarta,Jakarta Special Capital Region,Indonesia,December,89.0,78.0,84.0,4.67,76.0,74.0,7.0,29.81,4.0
Rome,,Italy,January,55.0,37.0,46.0,1.9,74.0,39.0,8.0,30.06,5.0
Rome,,Italy,February,58.0,38.0,48.0,1.67,67.0,38.0,9.0,30.03,5.0
Rome,,Italy,March,62.0,43.0,53.0,1.63,65.0,42.0,11.0,29.99,6.0
Rome,,Italy,April,67.0,48.0,58.0,2.24,67.0,48.0,10.0,29.93,6.0
Rome,,Italy,May,76.0,56.0,66.0,1.88,64.0,55.0,10.0,29.96,6.0
Rome,,Italy,June,84.0,63.0,73.0,1.14,58.0,59.0,10.0,29.97,6.0
Rome,,Italy,July,89.0,67.0,78.0,1.01,55.0,62.0,11.0,29.95,7.0
Rome,,Italy,August,90.0,67.0,79.0,1.12,57.0,64.0,10.0,29.95,6.0
Rome,,Italy,September,81.0,60.0,71.0,2.24,64.0,59.0,9.0,29.98,6.0
Rome,,Italy,October,73.0,53.0,63.0,2.94,72.0,55.0,8.0,30.02,6.0
Rome,,Italy,November,64.0,47.0,55.0,3.28,76.0,48.0,8.0,30.0,6.0
